RU_1390,MtApxFCyaEw,https://www.youtube.com/watch?v=MtApxFCyaEw,الطيران الحربي الروسي يقصف مدينة الباب بالصواريخ المعلقة بالمظلات,2016-01-27T17:04:40.000Z,عين على الوطن-Ein ala watan media office,Al Bab,الباب,33.5260441,37.4817825,Russian warplanes shell Al Bab city with parachuted rockets.,Alleged civilian casualties from Russian attacks
RU_1391,KstTSVvQj4Y,https://www.youtube.com/watch?v=KstTSVvQj4Y,الحولة 27 1 2016 جرحى بقصف الطيران الروسي للمدينة +18,2016-01-27T16:40:11.000Z,مركز حمص الإعلامي-Homs media centre,Houla,الحولة,34.89384167,36.495475,Houla: wounded by shelling from Russian aircrafts on the city.,Alleged civilian casualties from Russian attacks
RU_1392,iiXDJh9MNKM,https://www.youtube.com/watch?v=iiXDJh9MNKM,المشاهد الأولية للقصف الروسي على مدينة الرستن بحمص الذي خلف سقوط عشرات الجرحى 27-1-2016,2016-01-27T16:33:20.000Z,مركز حلب الإعلامي AMC-Aleppo media centre,Rastan,الرستن,34.91639,36.733818,First scenes of the Russian bombing of al-Rastan in Homs province in which dozens were injured 27/1/2016,Alleged civilian casualties from Russian attacks
RU_1393,5ZVuKBSfwww,https://www.youtube.com/watch?v=5ZVuKBSfwww,قصف بالطيران الحربي الروسي على قرية لحايا بريف حماة الشمالي 27 1 2016,2016-01-27T16:03:09.000Z,محمود الحموي-Mahmoud Alhamwi,Lahaya,لحايا,35.3348107,36.683026,Shelling by Russian warplanes on the Lahaya village of Hama northern countryside.,Alleged civilian casualties from Russian attacks
RU_1394,kU7f8pQqZQE,https://www.youtube.com/watch?v=kU7f8pQqZQE,قصف بالطيران الحربي الروسي على قرية معركبة بريف حماة الشمالي 27 1 2016,2016-01-27T16:03:01.000Z,محمود الحموي-Mahmoud Alhamwi,Mar kbeh,معر كبة,35.31813,36.6683854,Shelling by Russian warplanes on the Maarkebbeh village of Hama northern countryside.,Alleged civilian casualties from Russian attacks
RU_1395,Ti76rx-rQU0,https://www.youtube.com/watch?v=Ti76rx-rQU0,الطيران الحربي الروسي يقصف قرية الصياد بريف حماة الشمالي 27 1 2016,2016-01-27T16:02:42.000Z,محمود الحموي-Mahmoud Alhamwi,Alsayad,الصياد,35.399519,36.61947,Russian warplanes shell the Al Saida village of Hama northern cuntryside.,Alleged civilian casualties from Russian attacks
RU_1396,ZcWzZjXWhAg,https://www.youtube.com/watch?v=ZcWzZjXWhAg,الطيران الحربي الروسي يستهدف كفر حمرة بغارة جوية بريف حلب 27\1\2016,2016-01-27T15:41:03.000Z,عين على الوطن-Ein ala watan media office,Kafr hamrah,كفر حمرة,36.253303,37.087435,Russian warplanes target Kafar Hamra in Aleppo province with an air strike.,Alleged civilian casualties from Russian attacks
RU_1397,Y3mOt-D5_Ls,https://www.youtube.com/watch?v=Y3mOt-D5_Ls,المشفى التخصصي المركزي بإعزاز .. الرعاية الصحية بين القصف والترميم,2016-01-27T13:46:42.000Z,PAC Turkey,Azaz,اعزاز,36.584381,37.049911,Central Specialist Hospital in Azaz .. health care between the bombing and the restoration,Alleged civilian casualties from Russian attacks
RU_1398,4-mBbthGhxU,https://www.youtube.com/watch?v=4-mBbthGhxU,طائرتان حربيتان روسيتان في أجواء مدينة اللطامنة بريف حماة 26 1 2016,2016-01-26T16:48:28.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,Two Russian warplanes in the airspace over the Lattameneh city of Hama province.,Alleged civilian casualties from Russian attacks
RU_1399,Q7g7rpnKCN4,https://www.youtube.com/watch?v=Q7g7rpnKCN4,ضحايا بقصف جوي روسي على بلدة ترمانين في ريف إدلب الشمالي,2016-01-25T16:57:00.000Z,SMART News Agency - وكالة سمارت للأنباء,Termanin,ترمانين,36°13'45.61,36°49'1.03,Victims of Russian airstrike on the town of Termanin in northern countryside of Idlib,Alleged civilian casualties from Russian attacks
RU_1400,CcR_RlBU-Rk,https://www.youtube.com/watch?v=CcR_RlBU-Rk,خطوة ||شاهد سرب من الطيران الحربي الروسي يقصف مدينة الشيخ مسكين بريف درعا,2016-01-25T13:48:58.000Z,Step News Agency,Sheikh Miskin,الشيخ مسكين,32.827996,36.158238,Step || Watch a bevy of Russian warplanes bombed Al-Shaykh Maskin in the countryside of Daraa,Alleged civilian casualties from Russian attacks
RU_1401,wPxTwzEdoLo,https://www.youtube.com/watch?v=wPxTwzEdoLo,ريف حلب - تل رفعت || شـاهد : آثار الدمار بمنازل المدنيين جراء قصف طيران العدوان الروسي,2016-01-25T12:26:46.000Z,مدينة تل رفعت Tall Refaat City,Tal Rifaat,تل رفعت,36°28'36N,37°5′50″E,"Aleppo - Tell Rifaat || Witness: the destruction of civilian homes in bombing by aircraft of Russian aggressor
",Alleged civilian casualties from Russian attacks
RU_1402,ZHtOKtnxREE,https://www.youtube.com/watch?v=ZHtOKtnxREE,ريف حلب - تل رفعت || جرحى من المدنيين جراء قصف الطيران الروسي للمدينة 25-1-2016,2016-01-25T11:03:24.000Z,مدينة تل رفعت Tall Refaat City,Tal Rifaat,تل رفعت,36°28'36N,37°5′50″E,"Aleppo - Tell Rifaat || Injured civilians as a result of Russian aircraft bombing the city
",Alleged civilian casualties from Russian attacks
RU_1403,C56pHwVrlfs,https://www.youtube.com/watch?v=C56pHwVrlfs,وكالة قاسيون: الطيران الروسي يحلق في سماء القلمون في ريف دمشق 24-1-2016,2016-01-24T17:39:09.000Z,Qasion News Agency EN,Qalamoun,القلمون,33.6280217,36.4477216,Qasioun news : russian air forces fly over eastern Qalamoun in countryside of Damascus 24-1-2016,Alleged civilian casualties from Russian attacks
RU_1404,dV-L9akhsDs,https://www.youtube.com/watch?v=dV-L9akhsDs,نازحون عالقون على الحدود السورية التركية هربا من قصف الطيران الروسي,2016-01-24T12:05:27.000Z,وكالة شهبا برس Shahba Press Agency,IDLIB,أدلب,35.9266549,36.6180588,"Displaced people stuck on the Syrian-Turkish border to escape bombing by Russian aircraft
",Alleged civilian casualties from Russian attacks
RU_1405,dV-L9akhsDs,https://www.youtube.com/watch?v=dV-L9akhsDs,نازحون عالقون على الحدود السورية التركية هربا من قصف الطيران الروسي,2016-01-24T12:05:27.000Z,وكالة شهبا برس Shahba Press Agency,Azaz,اعزاز,36.584381,37.049911,Displaced people stuck on the Syrian-Turkish border trying to escape from bombing by Russian aircraft,Alleged civilian casualties from Russian attacks
RU_1406,D_i9jheDHwc,https://www.youtube.com/watch?v=D_i9jheDHwc,مراسل الشبكة يرصد اللحظات الأولى لقصف الطيران الروسي المناطق القريبة من معبر باب الهوى الحدودي,2016-01-23T04:23:14.000Z,شبكة حلب نيوز - Halab News Network,Sarmada,سرمدا,36.1808809,36.7200484,Halab News reporter witnessed the first moments of the Russian airstrike close to Bab al-Hawa border crossing,Alleged civilian casualties from Russian attacks
RU_1407,UE7y3xs_1Jw,https://www.youtube.com/watch?v=UE7y3xs_1Jw,حماة: الدمار بالمدرسة الزراعية جراء الغارات الجوية الروسية على كفرزيتا 22-1-2016 ,2016-01-22T18:25:24.000Z,Qasion News Agency EN,KafrZita,كفر زيتا,35.373461,36.601458,Hamah: Destruction in Agricultural school due to the russian airstrikes in Kafr Zeita 22-1-2016,Alleged civilian casualties from Russian attacks
RU_1408,FQUt23o1kiA,https://www.youtube.com/watch?v=FQUt23o1kiA,وكالة قاسيون: تحليق الطيران الحربي الروسي في اجواء الغوطة الشرقية 22-1-2016,2016-01-22T17:16:20.000Z,Qasion News Agency EN,Eastern Ghouta,الغوطة الشرقية,33.5296468,36.3848593,Qasioun News: Rif Dimashq: Russian warplanes hovering over Eastern ghouta airspace 22-1-2016,Alleged civilian casualties from Russian attacks
RU_1409,0MgUkQQoT9M,https://www.youtube.com/watch?v=0MgUkQQoT9M,الدفاع المدني ادلب / لحظات اسعاف المصابين بمجزرة باب الهوى من قبل الدفاع المدني 22/1/2016,2016-01-22T16:53:22.000Z,الدفاع المدني ادلب-Idlib civil defense,Bab al hawa square,ساحة باب الهوى,"36°11'45.99""N","36°43'53.03""E",Idlib Civil Defence: Idlib Civil Defense members assisting wounded in Bab al-Hawa massacre 22/1/2016,Alleged civilian casualties from Russian attacks
RU_1410,MqomkaejJrA,https://www.youtube.com/watch?v=MqomkaejJrA,ريف إدلب معبر باب الهوى القديم الغارة السادسة من الطيران الروسي 22-1-2016ج2,2016-01-22T16:28:25.000Z,صلاح قوجو-Salah khojo,Bab al hawa square,ساحة باب الهوى,"36°11'45.99""N","36°43'53.03""E",Sixth Russian airstrike on old Bab al-Hawa crossing in Idlib countryside 22/1/2016,Alleged civilian casualties from Russian attacks
RU_1411,XFafk6_aedU,https://www.youtube.com/watch?v=XFafk6_aedU,الدفاع المدني ادلب / أنتشال الأطفال من بين النيران نتيجة قصف الطيران الروسي /باب الهوى 22/1/2016,2016-01-22T16:24:17.000Z,الدفاع المدني ادلب-Idlib civil defense,Bab al hawa square,ساحة باب الهوى,"36°11'45.99""N","36°43'53.03""E","Idlib Civil Defense: Rescuing children from fire caused by Russian airstrikes, Bab al-Hawa 22/1/2016",Alleged civilian casualties from Russian attacks
RU_1412,hoQ8qZiIoCE,https://www.youtube.com/watch?v=hoQ8qZiIoCE,الدفاع المدني ادلب مجزرة يرتكبها الطيران الروسي بباب الهوى 22/1/2016,2016-01-22T16:02:31.000Z,الدفاع المدني ادلب-Idlib civil defense,Sarmada,سرمدا,36.1808809,36.7200484,"Idlib Civil Defense: massacre caused by Russian aistrikes, Bab al-Hawa 22/1/2016",Alleged civilian casualties from Russian attacks
RU_1413,AZ0rKcJBLGg,https://www.youtube.com/watch?v=AZ0rKcJBLGg,رئيس مركز الدفاع المدني في معبر باب الهوى متحثا عن الغارة الروسية 22-1-2016,2016-01-22T15:50:20.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,Head of Idlib Civil Defense speaking at Bab al-Hawa crossing about Russian airstrike 22/1/2016,Alleged civilian casualties from Russian attacks
RU_1414,TzYoTYruG00,https://www.youtube.com/watch?v=TzYoTYruG00,ريف إدلب معبر باب الهوى القديم آثار الدمار نتيجة أول غارتين من الطيران الروسي 22-1-2016ج2,2016-01-22T15:47:42.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by first two Russian airstrikes",Alleged civilian casualties from Russian attacks
RU_1415,0NFJZlZOn9c,https://www.youtube.com/watch?v=0NFJZlZOn9c,ريف إدلب معبر باب الهوى القديم آثار الدمار نتيجة أول غارتين من الطيران الروسي 22-1-2016,2016-01-22T15:39:42.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by first two Russian airstrikes",Alleged civilian casualties from Russian attacks
RU_1416,GnnnNN5lKEI,https://www.youtube.com/watch?v=GnnnNN5lKEI,ريف إدلب معبر باب الهوى القديم الغارة الثانية من الطيران الروسي 22-1-2016,2016-01-22T15:28:59.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by first two Russian airstrikes",Alleged civilian casualties from Russian attacks
RU_1417,Cfp14pBHgOs,https://www.youtube.com/watch?v=Cfp14pBHgOs,ريف إدلب معبر باب الهوى القديم الغارة السادسة من الطيران الروسي 22-1-2016,2016-01-22T15:27:05.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by  sixth Russian airstrike ",Alleged civilian casualties from Russian attacks
RU_1418,0Qz9s6xeMeY,https://www.youtube.com/watch?v=0Qz9s6xeMeY,ريف إدلب معبر باب الهوى القديم الغارة الثالثة من الطيران الروسي 22-1-2016,2016-01-22T15:24:46.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by the third Russian aistrike",Alleged civilian casualties from Russian attacks
RU_1419,aPHoB_OX0aM,https://www.youtube.com/watch?v=aPHoB_OX0aM,ريف إدلب معبر باب الهوى القديم الغارة الأولى من الطيران الروسي 22-1-2016,2016-01-22T15:19:41.000Z,صلاح قوجو-Salah khojo,Sarmada,سرمدا,36.1808809,36.7200484,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by the first Russian airstrike",Alleged civilian casualties from Russian attacks
RU_1420,1_vRLDrhvTE,https://www.youtube.com/watch?v=1_vRLDrhvTE,غارات متتالية من الطيران الروسي وصواريخ على ساحة باب الهوى في صرمدا #قطاع ادلب مركز معرة مصرين,2016-01-22T15:11:24.000Z,الدفاع المدني ادلب-Idlib civil defense,Sarmada,سرمدا,36.1808809,36.7200484,Successive Russian airstrikes and rockets over Bab al-Hawa square in Sarmada ,Alleged civilian casualties from Russian attacks
RU_1421,SEhSo4SNefQ,https://www.youtube.com/watch?v=SEhSo4SNefQ,تحليق للطيران الروسي في سماء ريف حمص الشمالي 22-01-2016,2016-01-22T13:21:09.000Z,تجمع ثوار سوريا SRG,HOMS,حمص,34.91639,36.733818,Russian Air Force in the skies of the northern countryside of Homs province 22/1/2016,Alleged civilian casualties from Russian attacks
RU_1422,QjqZ8uCMcj4,https://www.youtube.com/watch?v=QjqZ8uCMcj4,صورايخ روسية تستهدف منطقة #باب_الهوى الحدوية,2016-01-22T12:29:15.000Z,Mujahed Alhamwi,Bab al hawa square,باب الهوى,"36°13'4.65""N","36°42'22.92""E",Russian missiles aimed at # Bab_al-Hawa border on the border,Alleged civilian casualties from Russian attacks
RU_1423,_aI3ev_PMF0,https://www.youtube.com/watch?v=_aI3ev_PMF0,قصف بالطيران الحربي الروسي على مدينة اللطامنة بريف حماة 22 1 2016,2016-01-22T12:26:29.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,Russian warplanes bombing al-Latmana in Hama province 22/1/2016,Alleged civilian casualties from Russian attacks
RU_1424,BzU61XOVEpo,https://www.youtube.com/watch?v=BzU61XOVEpo,شاهد الشيخ مسكين اثار الدمار الوحشي بمنازل المدنيين جراء الحملة الجوية الروسية على المدينة ج2,2016-01-21T21:35:53.000Z,مؤسسة شاهد الإعلامية-shahed media association,Sheikh Miskin,الشيخ مسكين,32.827996,36.158238,Poor old man looks on at the destruction of residential houses after Russian airstrikes on the town,Alleged civilian casualties from Russian attacks
RU_1425,Y5E2zOLpVy8,https://www.youtube.com/watch?v=Y5E2zOLpVy8,شاهد الشيخ مسكين اثار الدمار الوحشي بمنازل المدنيين جراء الحملة الجوية الروسية على المدينة,2016-01-21T21:33:43.000Z,مؤسسة شاهد الإعلامية-shahed media association,Sheikh Miskin,الشيخ مسكين,32.827996,36.158238,Poor old man looks on at the destruction to residential houses after Russian aistrike on city,Alleged civilian casualties from Russian attacks
RU_1426,GNcywyD3848,https://www.youtube.com/watch?v=GNcywyD3848,وكالة قاسيون| الدمار الذي خلفه قصف الطيران الروسي على بلدة حزرما بريف دمشق 21-1-2016,2016-01-21T19:02:30.000Z,Qasioun News Agency,Hazrama,حزرما,33.5174575,36.4885738,Agency Qassioun | The devastation caused by the Russian aviation bombed the town of Hzrma countryside of Damascus,Alleged civilian casualties from Russian attacks
RU_1427,BcMSFxUOAFI,https://www.youtube.com/watch?v=BcMSFxUOAFI,#حلب_نيوز|اللحظات الأولى لقصف حي كرم البيك بصاروخ من الطيران الروسي 21-1-2016,2016-01-21T17:17:39.000Z,شبكة حلب نيوز - Halab News Network,Karam al-Beek,كرم البيك,"36°11'28""N","37°10'20""E",Aleppo News: First moments of Russian aircraft attacking Karm al-Beek neighborhood with rockets 21/1/2016,Alleged civilian casualties from Russian attacks
RU_1428,7vuWR2GJ__U,https://www.youtube.com/watch?v=7vuWR2GJ__U,قصف بالطيران الحربي الروسي على قرية لحايا بريف حماة الشمالي ج2 21 1 2016,2016-01-21T17:08:52.000Z,محمود الحموي-Mahmoud Alhamwi,Lahaya,لحايا,35.3348107,36°40'56.06,Russian warplanes bombing Lahaya village in northern countryside of Hama 21/1/2016,Alleged civilian casualties from Russian attacks
RU_1429,w6UQ5lLfWsY,https://www.youtube.com/watch?v=w6UQ5lLfWsY,الطيران الحربي الروسي يقصف قرية الزكاة بريف حماة الشمالي 21 1 2016,2016-01-21T17:07:16.000Z,محمود الحموي-Mahmoud Alhamwi,Zakah,الزكاة,"35°20'24""N","36°34'38""E",Russian warplanes bombing Zakat village in the northern countryside of Hama province 21/2/2016,Alleged civilian casualties from Russian attacks
RU_1430,wu9uhZcstDU,https://www.youtube.com/watch?v=wu9uhZcstDU,الطيران الحربي الروسي بأجواء مدينة اللطامنة بريف حماة 21 1 2016,2016-01-21T17:06:45.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,Russian warplanes flying over al-Latamnah in the countryside of Hama 21/1/2016,Alleged civilian casualties from Russian attacks
RU_1431,5t2kS8iEK80,https://www.youtube.com/watch?v=5t2kS8iEK80,#حلب_نيوز#شاهد طائرة مروحية روسية في سماء مدينة حلب 21-1-2016,2016-01-21T16:27:57.000Z,شبكة حلب نيوز - Halab News Network,ALEPPO,حلب,36.2065528,37.0785454,Aleppo News: Russian helicopter flying in the skies of Aleppo province 21/1/2016,Alleged civilian casualties from Russian attacks
RU_1432,BwthnqjUbTw,https://www.youtube.com/watch?v=BwthnqjUbTw,ريف حماة: الطيران الحربي الروسي يقصف مدينة اللطامنة 21-1-2016,2016-01-21T13:17:37.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,Hama countryside: Russian warplanes bombing al-Latamnah 21/1/2016,Alleged civilian casualties from Russian attacks
RU_1433,WVYiqtnRz7U,https://www.youtube.com/watch?v=WVYiqtnRz7U,آثار الدمار جراء قصف روسي في كفر بطنا,2016-01-21T10:41:56.000Z,Syrian Network for Human Rights,Kafar Batna,كفر بطنا,33.514295,36.373479,Damascus suburbs –Kafr Batna: destruction in suspected Russian warplanes shelling P3 4 Dec 2015,Alleged civilian casualties from Russian attacks
RU_1434,Z11jpElWDb4,https://www.youtube.com/watch?v=Z11jpElWDb4,قصف بالطيران الحربي الروسي على قرية معركبة بريف حماة الشمالي 20 1 2016,2016-01-20T16:57:19.000Z,محمود الحموي-Mahmoud Alhamwi,Mar kbeh,معر كبة,35.31813,36.6683854,Russian warplanes bombing Markaba village in the northern Hama province 20/1/2016,Alleged civilian casualties from Russian attacks
RU_1435,1Fq1984jiEI,https://www.youtube.com/watch?v=1Fq1984jiEI,قصف بالطيران الحربي الروسي على الأراضي الزراعية لمدينة مورك بريف حماة ج3 20 1 2016,2016-01-20T16:56:18.000Z,محمود الحموي-Mahmoud Alhamwi,Morek,مورك,35.375176,36.687255,Russian warplanes bombing farmland in Morek city in Hama province   20/1/2016,Alleged civilian casualties from Russian attacks
RU_1436,mHk4Fo6eEmM,https://www.youtube.com/watch?v=mHk4Fo6eEmM,ريف إدلب بلدة حزانو تصاعد أعمدة الدخان نتيجة الغارة الجوية الروسية 20-1-2016,2016-01-20T15:25:40.000Z,صلاح قوجو-Salah khojo,Hazano,حزانو,36.091557,36.714656,Idlib countryside: Smoke rising over Hazanu following Russian airstrike 20/1/2016,Alleged civilian casualties from Russian attacks
RU_1437,FUH9A563k4s,https://www.youtube.com/watch?v=FUH9A563k4s,ريف إدلب بلدة حزانو آثار الدمار نتيجة غارة جوية من الطيران الروسي 20 1 2016 ج2,2016-01-20T14:54:48.000Z,صلاح قوجو-Salah khojo,Hazano,حزانو,36.091557,36.714656,Idlib countryside: Destruction in Hazanu following Russian airstrike 20/1/2016,Alleged civilian casualties from Russian attacks
RU_1438,KFbGV1i3VL4,https://www.youtube.com/watch?v=KFbGV1i3VL4,أحد رجال الدفاع المدني متحدثا عن الغارة الروسية التي إستهدفت بلدة حزانو 20-1-2016,2016-01-20T14:51:28.000Z,صلاح قوجو-Salah khojo,Hazano,حزانو,36.091557,36.714656,Member of Civil Defense speaking about Russian airstrike on Hazano town 20/1/2016,Alleged civilian casualties from Russian attacks
RU_1439,KG3frjVpWuY,https://www.youtube.com/watch?v=KG3frjVpWuY,ريف إدلب بلدة حزانو آثار الدمار نتيجة غارة جوية من الطيران الروسي 20 1 2016,2016-01-20T14:47:34.000Z,صلاح قوجو-Salah khojo,Hazano,حزانو,36.091557,36.714656,Idlib countryside: Destruction in Hazanu following Russian airstrike 20/1/2016,Alleged civilian casualties from Russian attacks
RU_1440,z7kMVTDRvbY,https://www.youtube.com/watch?v=z7kMVTDRvbY,قصف بالطيران الحربي الروسي على مدينة اللطامنة بريف حماة 20 1 2016,2016-01-20T13:50:19.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,Russian warplanes bombing al-Latamnah in Hama countryside 20/1/2016,Alleged civilian casualties from Russian attacks
RU_1441,jeFa4j1bJGY,https://www.youtube.com/watch?v=jeFa4j1bJGY,شاهد : طيران الاستطلاع الروسي فوق الشيخ مسكين 19-1-2016,2016-01-19T11:56:45.000Z,SMO Syria,Sheikh Miskin,الشيخ مسكين,32.827996,36.158238,Aftermath of Russian Air Force reconnoitring above Shek Mskeen in Daraa province ,Alleged civilian casualties from Russian attacks
RU_1442,H3G5EMjImZU,https://www.youtube.com/watch?v=H3G5EMjImZU,وكالة قاسيون: ريف دمشق: غارة جوية روسية على مدينة زملكا بالقرب من المصور 17-1-2016,2016-01-17T20:26:34.000Z,Qasion News Agency EN,Zamalka,زملكا,33.5261956,36.3510736,Qasioun news : Rif Dimashq : russian airstrike on Zmalka city near Qasioun reporter,Alleged civilian casualties from Russian attacks
RU_1443,EPCvCwtDcrM,https://www.youtube.com/watch?v=EPCvCwtDcrM,#شاهد الأضرار التي لحقت بالطريق التجاري في حردتنين أمس بعد غارات روسية مكثفة 17-1-2015,2016-01-17T15:20:09.000Z,مركز حلب الإعلامي AMC-Aleppo media centre,hardetneen,حردتنين,36°22'1.79,37° 6'4.46,Watch destruction on the trade road in Hardteen after intense Russian airstrikes yesterday 17/1/2015,Alleged civilian casualties from Russian attacks
RU_1444,IldowwvVj8Q,https://www.youtube.com/watch?v=IldowwvVj8Q,ريف حماه الجنوبي - حربنفسة : شاهد استهداف المساجد من الطيران الحربي الروسي بالصواريخ الموجهه,2016-01-17T14:40:31.000Z,تجمع ثوار سوريا SRG,Harbinafsah,حربنفسه,34.9376702,36.6298663,Hama countryside: Russian Air Force attacks mosques with guided missiles  ,Alleged civilian casualties from Russian attacks
RU_1445,MkgtQsa4ekk,https://www.youtube.com/watch?v=MkgtQsa4ekk,خطوة || شاهد لحظة استهداف الطيران الحربي الروسي محيط مدينة سراقب من الجهة الجنوبية,2016-01-17T14:36:22.000Z,Step News Agency,Saraqib nahiyah,سراقب,35.863558,36.799534,"Step Agency: Russian Air Force attacks the southern side of Srakeb city, Idlib province",Alleged civilian casualties from Russian attacks
RU_1446,XYiFikHMBtw,https://www.youtube.com/watch?v=XYiFikHMBtw,الطائرات الروسية تُغير على حي السكري بحلب,2016-01-17T14:32:30.000Z,SMART News Agency - وكالة سمارت للأنباء,Sukkari,السكري,"36°10'30""N","37°8'29""E",Russian aircraft attacking al-Sukkari neighbourhood in Aleppo,Alleged civilian casualties from Russian attacks
RU_1447,8sYaaGAXG0U,https://www.youtube.com/watch?v=8sYaaGAXG0U,ريف حلب - بلدة احرص || لحظة استهداف الطيران الحربي الروسي البلدة بالصواريخ الفراغية 17-1-2016,2016-01-17T14:16:28.000Z,مدينة تل رفعت Tall Refaat City,Ahras,احرص,36.40805,37.153231,"Aleppo countryside, Ahrous town under attack by stereochemistry missiles by Russian Air Force",Alleged civilian casualties from Russian attacks
RU_1448,l6BWhAsLoe8,https://www.youtube.com/watch?v=l6BWhAsLoe8,حريتان || مشاهد للدمار جراء الغارات الروسية على المدينة 17-1-2015,2016-01-17T14:15:31.000Z,المكتب الإعلامي حريتان-Harithan media centre,Harithan,حريتان,36.287871,37.0838783,Aftermath of Russian airstrike over the town of Hretan,Alleged civilian casualties from Russian attacks
RU_1449,g3bxIJsGEtU,https://www.youtube.com/watch?v=g3bxIJsGEtU,#شاهد الدفاع المدني ينتشل جثة امرأة في حي المغاير بحلب بعد قصف الطائرات الروسية ظهر اليوم 17-1-2015,2016-01-17T14:13:01.000Z,مركز حلب الإعلامي AMC-Aleppo media centre,Maghayer,المغاير,36.1743484,37.1493458,Retrieving the corpse of a woman in the Maghayer neighborhood of Aleppo after shelling by Russian aircrafts at noon.,Alleged civilian casualties from Russian attacks
RU_1450,3oJcRk0c38M,https://www.youtube.com/watch?v=3oJcRk0c38M,المغاير 17-1-2016,2016-01-17T13:56:20.000Z,الدفاع المدني السوري حلب-Aleppo civil defense,Maghayer,المغاير,"36°11'21""N","37°9'19""E",Dozens wounded in aftermath of Russian airstrikes on neighborhoods in Aleppo province,Alleged civilian casualties from Russian attacks
RU_1451,S9K1pN4gW2g,https://www.youtube.com/watch?v=S9K1pN4gW2g,حريتان || آثار الدمار جراء الغارات الروسية على أحياء المدينة 17-1-2016,2016-01-17T11:09:24.000Z,المكتب الإعلامي حريتان-Harithan media centre,Harithan,حريتان,36.287871,37.0838783,Aftermath of Russian airstrike over the town of Hretan,Alleged civilian casualties from Russian attacks
RU_1452,gnDEU2p8H6M,https://www.youtube.com/watch?v=gnDEU2p8H6M,2016-1-16 الدفاع المدني في حيان ينقذ المصابين وينتشل الشهداء بسبب القصف الروسي على بلدة حيان,2016-01-16T17:57:46.000Z,الدفاع المدني السوري حلب-Aleppo civil defense,Hayyan,حيان,36.3248097,37.0586887,Civil Defenders in Hayan launch a search and rescue for victims under rubble following a Russian airstrike on Hayan town in Aleppo province ,Alleged civilian casualties from Russian attacks
RU_1453,bXpLoJdq5D4,https://www.youtube.com/watch?v=bXpLoJdq5D4,رصد الطيران الحربي الروسي في سماء في القلمون الشرقي بريف دمشق 16-1-2016,2016-01-16T15:01:26.000Z,SMO Syria,Qalamoun,القلمون,33.6280217,36.4477216,"Monitoring a Russian warplane flying over Eastern Qalamoun in Damascus countryside, 16/1/2016",Alleged civilian casualties from Russian attacks
RU_1454,fsMJb9tDf_U,https://www.youtube.com/watch?v=fsMJb9tDf_U,ضحايا مدنيين أطفال ونساء نتيجة اللقصف بالطائرات الروسية في حي السكري,2016-01-16T13:07:23.000Z,الدفاع المدني السوري حلب-Aleppo civil defense,Sukkari,السكري,36°10'30,37°8'29,Civilian casualties including women and children as a result of the bombing by Russian aircraft of al-Sukkari,Alleged civilian casualties from Russian attacks
RU_1455,yhcQBGDwhhU,https://www.youtube.com/watch?v=yhcQBGDwhhU,قصف بالطيران الحربي الروسي على مدينة اللطامنة بريف حماة 16 1 2016,2016-01-16T07:28:17.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,"Shelling by Russian warplanes on Lattameneh town in Hama countryside, 16/1/2016",Alleged civilian casualties from Russian attacks
RU_1456,Z7bnpVDIJnc,https://www.youtube.com/watch?v=Z7bnpVDIJnc,اللحظات الاولى من استهداف الطيران الحربي الروسي لحي السكري بحلب 15\1\2016,2016-01-15T20:14:43.000Z,عين على الوطن-Ein ala watan media office,Sukkari,حي السكري,36.1719875,37.1315789,"First moments after Russian warplanes targeted the Sekkari neighborhood of Aleppo, 15/1/2016",Alleged civilian casualties from Russian attacks
RU_1457,1c8GYGfSyXY,https://www.youtube.com/watch?v=1c8GYGfSyXY,قصف بالطيران الحربي الروسي على قرية لحايا بريف حماة الشمالي ج2 15 1 2016,2016-01-15T17:34:28.000Z,محمود الحموي-Mahmoud Alhamwi,Lahaya,لحايا,35.3348107,36°40'56.06,Russian airstrike in Lahaya,Alleged civilian casualties from Russian attacks
